time,Drone_x,Drone_y,Drone_z,Drone_lat,Drone_lon,Drone_alt,Drone_vx,Drone_vy,Drone_vz,F18_x,F18_y,F18_z,F18_lat,F18_lon,F18_alt,F18_vx,F18_vy,F18_vz
0.0,6379637.0,-2000.0,3000.0,0.027124658796290176,-0.01796208080054089,1501.023619373329,0.0,0.0,0.0,6379337.0,-2000.0,0.0,0.0,-0.017962925500215332,1200.313512195833,12.437774838512595,82.91849892341732,124.37774838512595
0.06997319759534729,6379637.0,-1997.2010720961862,3000.0,0.02712465880004341,-0.017936943517602843,1501.0227425312623,0.0,40.0,0.0,6379337.873923368,-1994.1957993644955,8.7063091689058,7.872227712738796e-05,-0.01791079283816459,1201.185624456033,12.541038945453835,82.97927320139546,124.46914492017298
0.15000000000000002,6379637.0,-1994.0,3000.0,0.02712465880432947,-0.01790819456165404,1501.021741210483,0.0,40.0,0.0,6379338.882174369,-1987.552488655739,18.671304804489736,0.00016882554584692254,-0.017851123381166265,1202.1918236790225,12.655360411181537,83.04744832771938,124.57167569997506
0.2,6379637.0,-1992.0,3000.0,0.02712465880700387,-0.01789023248201805,1501.0211164094508,0.0,40.0,0.0,6379339.516692741,-1983.3990645890453,24.90147024917778,0.00022515854843087362,-0.017813817799179295,1202.8250707481056,12.725379368217896,83.08948904720853,124.63490429149766
0.25,6379637.0,-1990.0,3000.0,0.02712465880967558,-0.01787227040237854,1501.02049223613,0.0,40.0,0.0,6379340.154621206,-1979.2435652679294,31.134756900615915,0.0002815197614842222,-0.017776493576286013,1203.4617361119017,12.791763714288736,83.13045995242018,124.69652613439074
0.3,6379637.0,-1988.0,3000.0,0.027124658812344615,-0.017854308322735518,1501.0198686905205,0.0,40.0,0.0,6379340.795869559,-1975.086020977594,37.37111930051901,0.0003379087738793807,-0.01773915098480796,1204.1017295857891,12.858174847093334,83.17128783017665,124.75793425139976
0.35000000000000003,6379637.0,-1986.0,3000.0,0.027124658815010954,-0.017836346243088982,1501.0192457716912,0.0,40.0,0.0,6379341.4403521335,-1970.9264612229658,43.61051316254622,0.00039432518508845775,-0.017701790290043894,1204.7449655290693,12.921132190724892,83.21107988360218,124.81778665163216
0.4,6379637.0,-1984.0,3000.0,0.027124658817674622,-0.017818384163438946,1501.0186234787107,0.0,40.0,0.0,6379342.087983185,-1966.7649152357099,49.85289460886534,0.00045076859828041993,-0.017664411754836445,1205.3913582153618,12.984113941446084,83.25073714845564,124.87743764283907
0.45,6379637.0,-1982.0,3000.0,0.027124658820335597,-0.01780042208378541,1501.0180018134415,0.0,40.0,0.0,6379342.738681292,-1962.601411499105,56.09822088567555,0.0005072386267904846,-0.017627015635292648,1206.0408262442797,13.043814023426231,83.28939113462036,124.93558178030075
0.5,6379637.0,-1980.0,3000.0,0.027124658822993895,-0.017782460004128368,1501.0173807749525,0.0,40.0,0.0,6379343.392364958,-1958.4359782397478,62.34644962288616,0.0005637348874263531,-0.017589602185212386,1206.6932881437242,13.103536335796717,83.32791807078338,124.99353607719695
0.55,6379637.0,-1978.0,3000.0,0.027124658825649507,-0.017764497924467833,1501.0167603632435,0.0,40.0,0.0,6379344.048956802,-1954.2686429658631,68.59753952934135,0.0006202570067540119,-0.01755217165193025,1207.3486665477976,13.160140797281956,83.36547291587081,125.05003034407555
0.6,6379637.0,-1976.0,3000.0,0.027124658828302433,-0.017746535844803808,1501.016140579246,0.0,40.0,0.0,6379344.708379376,-1950.0994329444663,74.8514496744523,0.0006768046146025325,-0.017514724280612726,1208.006884031929,13.216765498030881,83.40290798262224,125.10634564045989
0.65,6379637.0,-1974.0,3000.0,0.02712465883095267,-0.017728573765136292,1501.0155214220285,0.0,40.0,0.0,6379345.370559143,-1945.9283747524853,81.1081401640693,0.0007333773501748337,-0.01747726031021572,1208.6678670784459,13.270428245408365,83.43940086757135,125.16124581088646
0.7,6379637.0,-1972.0,3000.0,0.027124658833600233,-0.017710611685465293,1501.0149028915912,0.0,40.0,0.0,6379346.035422508,-1941.7554947400865,87.36757144299918,0.0007899748557413848,-0.017439779977656875,1209.331542111002,13.324109410661222,83.47578080987543,125.2159772287987
0.75,6379637.0,-1970.0,3000.0,0.027124658836245107,-0.01769264960579081,1501.014284987934,0.0,40.0,0.0,6379346.702899598,-1937.5808185940332,93.62970495239558,0.0008465967825838087,-0.017402283513883565,1209.9978392766789,13.374976965989193,83.51124727497745,125.26933661574472
0.7999999999999999,6379637.0,-1968.0,3000.0,0.027124658838887303,-0.017674687526112853,1501.013667711988,0.0,40.0,0.0,6379347.372920484,-1933.4043717878267,99.89450245217813,0.0009032427848685899,-0.017364771147926228,1210.6666886648163,13.425861273102408,83.5466072258037,125.32253685895206
0.85,6379637.0,-1966.0,3000.0,0.02712465884152681,-0.01765672544643142,1501.0130510628223,0.0,40.0,0.0,6379348.04541878,-1929.2261791567685,106.16192666074443,0.0009599125254307886,-0.01732724310307201,1211.338023904711,13.474073110462383,83.58108126751775,125.37440645945655
0.8999999999999999,6379637.0,-1964.0,3000.0,0.027124658844163634,-0.017638763366746517,1501.0124350404367,0.0,40.0,0.0,6379348.720328049,-1925.0462653355191,112.43194059638364,0.0010166056698195423,-0.017289699600804526,1212.0117785809562,13.522300175640252,83.6154548425636,125.42612595554566
0.95,6379637.0,-1962.0,3000.0,0.027124658846797777,-0.017620801287058147,1501.0118196438998,0.0,40.0,0.0,6379349.397585222,-1920.8646543443722,118.70450820005325,0.0010733218919286177,-0.017252140857078782,1212.6878896411508,13.567989043655377,83.64896900321156,125.47655458526248
0.9999999999999999,6379637.0,-1960.0,3000.0,0.027124658849429235,-0.017602839207366314,1501.0112048750743,0.0,40.0,0.0,6379350.077127184,-1916.6813700147845,124.97959369494873,0.0011300608682061177,-0.017214567086152304,1213.3662939872593,13.613691745616627,83.68238838867254,125.52684161730416
1.05,6379637.0,-1958.0,3000.0,0.027124658852058003,-0.01758487712767102,1501.0105907348916,0.0,40.0,0.0,6379350.758894024,-1912.4964355864086,131.2571621930327,0.001186822283138095,-0.017176978496957214,1214.0469317249954,13.656983976725156,83.71497383959962,125.57587603524891,6379352.199522442,-1903.6776739276704,144.67681353952432,0.0013081619648209317,-0.01709776943180269,1215.485214540735,24.547468015906937,149.1900356924008,231.43554407087896
1.0999999999999999,6379637.0,-1956.0,3000.0,0.02712465885468409,-0.01756691504797227,1501.0099772205576,0.0,40.0,0.0,6379351.4428257905,-1908.3098741211077,137.53717907198532,0.0012436058236154493,-0.01713937529682747,1214.7297429218888,13.7002887670196,83.74746987355871,125.62477686389231,6379353.430561347,-1896.2383006016214,156.40926539482294,0.0014142460512154855,-0.017030949853822905,1216.714316460304,24.693625170855263,148.38116869819612,237.8546561497633
1.1500000000000001,6379637.0,-1954.0,3000.0,0.0271246588573075,-0.017548952968270068,1501.0093643330038,0.0,40.0,0.0,6379352.128865577,-1904.1217081103239,143.81961056612383,0.001300411184276373,-0.017101757687964174,1215.4146706843749,13.741304573774118,83.77915649230896,125.67246188821251,6379354.668838869,-1888.8399432394076,168.46148434842084,0.001523221414908679,-0.016964498664647165,1217.950708033517,24.8370201855369,147.54942853583734,244.226086678684
1.2,6379637.0,-1952.0,3000.0,0.027124658859928222,-0.017530990888564413,1501.00875207223,0.0,40.0,0.0,6379352.816956439,-1899.931959878056,150.10442316001465,0.0013572380620239357,-0.017064125871063263,1216.101658088155,13.78233177403026,83.81075874028151,125.72002086501324,6379355.914218103,-1881.4837407229218,180.83106532739077,0.0016350663073070812,-0.01689842609344516,1219.1942543042824,24.977701595565225,146.69500824031698,250.54900065683105
1.2500000000000002,6379637.0,-1950.0,3000.0,0.02712465886254626,-0.017513028808855316,1501.0081404391676,0.0,40.0,0.0,6379353.507044328,-1895.7406511981692,156.3915841643764,0.001414086161232727,-0.017026480041870542,1216.790651096031,13.821185532905,83.84157518227936,125.76639948051825,6379357.166564634,-1874.170821996154,193.51556223660438,0.0017497586089028124,-0.016832742280107223,1220.4448228282854,25.115720328631838,145.8181121363634,256.8225923073036
1.3,6379637.0,-1948.0,3000.0,0.027124658865161615,-0.01749506672914277,1501.007529431954,0.0,40.0,0.0,6379354.199075164,-1891.547803686776,162.68106112568645,0.0014709551884110896,-0.01698882039471373,1217.4815956475213,13.860049619500115,83.87231200739254,125.81265915321885,6379358.42574665,-1866.902305523868,206.51248943559847,0.0018672758426282563,-0.01676745727038238,1221.7022837782279,25.251129644976192,144.91895491841152,263.0460856870748
1.3500000000000003,6379637.0,-1946.0,3000.0,0.027124658867774286,-0.017477104649426794,1501.0069190524518,0.0,40.0,0.0,6379354.892997619,-1887.353438429126,168.97282238761915,0.001527844857276954,-0.016951147119143976,1218.1744404276833,13.896850142549859,83.90228577258496,125.85777261135087,6379359.69163506,-1859.6792987953286,219.81932324346624,0.0019875951874641193,-0.01670258101142096,1222.9665100714192,25.383985080254313,143.9977607681988,269.21873519915334
1.4000000000000001,6379637.0,-1944.0,3000.0,0.02712465887038427,-0.01745914256970738,1501.006309300661,0.0,40.0,0.0,6379355.588760334,-1883.1575763617998,175.26683651602647,0.0015847548835591079,-0.016913460403375984,1218.869134094566,13.933660019054265,83.93218440083537,125.90277382177867,6379360.964103603,-1852.502897871256,233.43350346705023,0.002110693492258133,-0.016638123347705574,1224.2373774703592,25.514344390815126,143.0547625077273,275.33982601357883
1.4500000000000004,6379637.0,-1942.0,3000.0,0.027124658872991574,-0.017441180489984533,1501.005700174719,0.0,40.0,0.0,6379356.286314569,-1878.9602379088376,181.5630728464263,0.0016416849899468786,-0.01687576043101291,1219.5656279204413,13.968510813882038,83.96134189570341,125.9466617336382,6379362.243028964,-1845.374186972292,247.3524349480337,0.0022365472897145876,-0.01657409401735483,1225.5147646926343,25.642267501434027,142.09020078544162,281.4086744032892
1.5000000000000002,6379637.0,-1940.0,3000.0,0.02712465887559619,-0.017423218410258255,1501.0050916764885,0.0,40.0,0.0,6379356.985611556,-1874.7614433541276,187.861500923779,0.0016986349010252077,-0.016838047384398012,1220.2638731542975,14.003370071742134,83.9904284766918,125.99044370881897,6379363.528290872,-1838.2942381073708,261.57348912481206,0.0023651328105174533,-0.01651050264878559,1226.798553518951,25.767816455517515,141.10432329359247,287.4246280003689
1.5500000000000005,6379637.0,-1938.0,3000.0,0.027124658878198125,-0.017405256330528553,1501.0044838059694,0.0,40.0,0.0,6379357.686605016,-1870.561212486458,194.16209103650678,0.0017556043481025347,-0.016800321441420074,1220.9638235298917,14.036369590228452,84.0187950720042,126.03314413180364,6379364.819772217,-1831.2641107404818,276.0940056052932,0.002496425997552261,-0.016447358757719965,1228.0886288974434,25.891055367804707,140.09738401488045,293.3870659777259
1.6000000000000003,6379637.0,-1936.0,3000.0,0.02712465888079738,-0.017387294250795434,1501.003876561299,0.0,40.0,0.0,6379358.389248643,-1866.3595649624572,200.46481367052687,0.001812593064274798,-0.0167625827787798,1221.6654327558354,14.069376758147923,84.0470947355109,126.07574456883613,6379366.117359143,-1824.2848514944048,290.91129374701376,0.0026304025201940914,-0.01638467174452443,1229.3848790423945,26.012050379592417,139.0696424965999,299.29539916083496
1.6500000000000006,6379637.0,-1934.0,3000.0,0.027124658883393948,-0.017369332171058894,1501.0032699434087,0.0,40.0,0.0,6379359.093498499,-1862.1565199602676,206.76964003025265,0.0018696007891355962,-0.016724831568873066,1222.368656908162,14.100618634225722,84.07469482016823,126.11729408741525,6379367.420941146,-1817.3574938900845,306.0226342411852,0.0027670377886310333,-0.016322450891869088,1230.68719552923,26.13086961651415,138.02136315062603,305.1490700738354
