time,Airliner_x,Airliner_y,Airliner_z,Airliner_lat,Airliner_lon,Airliner_alt,Airliner_vx,Airliner_vy,Airliner_vz
0.0,-2708532.6603689445,-4272083.633670272,3872068.947605397,37.61929999999999,-122.375,14.0,39.22202398667154,61.86366854782638,95.05008862801569
0.9999999999999999,-2708493.741037243,-4272022.257087991,3872168.6883670785,37.62041150384294,-122.37499994141477,17.318663150072098,38.69098956657663,61.00711942076862,103.83474873109135
2.0000000000000004,-2708455.1437125104,-4271961.406425129,3872275.6498989584,37.62157114490845,-122.37499977348311,25.535967158153653,38.557767864867394,60.77978620599989,109.70930525160018
3.0000000000000013,-2708416.53956172,-4271900.561541389,3872387.4869118165,37.62276556844632,-122.37499950519087,36.73313156887889,38.681314132176176,60.958718434009654,113.71926818247043
4.000000000000002,-2708377.737006053,-4271839.419100978,3872502.6828734814,37.62398592381861,-122.37499914359715,49.70043335109949,38.93753439022491,61.34800276563939,116.51047002580768
4.999999999999998,-2708338.648270646,-4271777.839598047,3872620.2373018004,37.625225977042554,-122.37499869513528,63.696726370602846,39.24315955962165,61.816259408762114,118.48912741823149
5.999999999999995,-2708299.2506626076,-4271715.786188311,3872739.477174129,37.62648116282275,-122.37499816617931,78.2769957864657,39.54953918907673,62.2867661114892,119.91561826192935
6.999999999999991,-2708259.557464995,-4271653.27875004,3872859.9411200965,37.62774805704828,-122.37499756323226,93.17860150244087,39.83164654264334,62.72007439889629,120.95984106751946
7.999999999999988,-2708219.5991095323,-4271590.364185525,3872981.306992996,37.62902405322059,-122.37499689294307,108.2492213100195,40.078949690631966,63.09959367214901,121.73459631252332
8.999999999999984,-2708179.412045042,-4271527.098871057,3873103.3458375973,37.630307148204984,-122.37499616206189,123.40229565184563,40.28912597058479,63.421672355374575,122.31610246024492
9.99999999999998,-2708139.032667116,-4271463.539091529,3873225.892196739,37.631595792611385,-122.3749953773842,138.5899324947968,40.46410641236995,63.68935952345088,122.75679280660543
10.999999999999977,-2708098.4943417977,-4271399.736353302,3873348.82466799,37.632888782564834,-122.37499454570673,153.7866435907781,40.60773290246233,63.908712297431094,123.09339548400654
11.999999999999973,-2708057.8262167666,-4271335.73551345,3873472.052967043,37.63418517957064,-122.37499367380109,168.97969403956085,40.724445358601315,64.0867282763518,123.35209506172316
12.99999999999997,-2708017.0530060013,-4271271.574441417,3873595.5091714603,37.6354842502304,-122.37499276840587,184.1634410461411,40.81859417207674,64.23026396963982,123.55187155706051
13.999999999999966,-2707976.1952630933,-4271207.284448707,3873719.141686177,37.636785420376256,-122.37499183623524,199.3360547469929,40.894116978426396,64.34552748490614,123.70669140173977
14.999999999999963,-2707935.269865907,-4271142.89104959,3873842.9110080698,37.63808823988461,-122.37499088400142,214.49764797464013,40.954418939137135,64.43789186092853,123.82696837274771
15.99999999999996,-2707894.2905612057,-4271078.414814357,3873966.7866999027,37.63939235551415,-122.37498991844974,229.6492314087227,41.00236066785855,64.51187797008429,123.92055501554137
16.99999999999997,-2707853.268491878,-4271013.872193211,3874090.745192071,37.64069748983883,-122.3749889464054,244.79214682709426,41.040298350630756,64.5712196954508,123.99342799239707
17.999999999999986,-2707812.212671619,-4270949.276255356,3874214.76816161,37.64200342484925,-122.37498797483153,259.92777362279594,41.07014503402657,64.61896262937154,124.05017073068196
19.0,-2707771.130395089,-4270884.637324111,3874338.841321213,37.64330998915274,-122.37498701090111,275.0573885794729,41.093436457381536,64.65757027957454,124.09431945436182
20.000000000000014,-2707730.0275836843,-4270819.963507834,3874462.953504546,37.64461704796154,-122.37498606208452,290.1821094546467,41.11139308704888,64.68902487423095,124.12861540139691
21.00000000000003,-2707688.90907286,-4270755.2611352755,3874587.095969069,37.64592449524919,-122.37498513625782,305.3028825642541,41.12497462432254,64.71491721353937,124.15519138375889
22.000000000000043,-2707647.778849302,-4270690.535107295,3874711.261860748,37.64723224759842,-122.37498424183845,320.4204919496551,41.13492570316408,64.73652400839075,124.17571153979387
23.000000000000057,-2707606.640246881,-4270625.789177343,3874835.445800666,37.6485402393711,-122.37498338795866,335.53557779546827,41.14181266177779,64.75487322331063,124.19147713815448
24.00000000000007,-2707565.4961101855,-4270561.026171981,3874959.643564328,37.64984841891383,-122.37498258469282,350.64865753799677,41.14605167100414,64.7707989766845,124.20350737589888
25.000000000000085,-2707524.3489341578,-4270496.248160861,3875083.851831977,37.65115674557523,-122.37498184336214,365.7601464036852,41.147928381798565,64.78498808021709,124.21260150999302
26.0000000000001,-2707483.200988468,-4270431.456583329,3875208.067993686,37.65246518736076,-122.37498117695708,380.8703758455813,41.147608665437,64.79802069834537,124.219386894959
27.000000000000114,-2707442.054436218,-4270366.652336067,3875332.2899968773,37.65377371908784,-122.37498060074167,395.9796094484627,41.145138775407474,64.81040821637832,124.22435627831653
28.000000000000128,-2707400.911459366,-4270301.8358224975,3875456.5162268295,37.655082320934234,-122.37498013315422,411.0880562039092,41.140430745451226,64.82263273698311,124.2278968436316
29.000000000000142,-2707359.774409786,-4270237.006958932,3875580.7454129043,37.65639097729549,-122.37497979721607,426.1958814468235,41.13322338872079,64.83519580150069,124.23031286619738
30.000000000000156,-2707318.6460201107,-4270172.165121424,3875704.976554839,37.65769967588479,-122.37497962287219,441.30321571975946,41.12299612673174,64.84869198765327,124.231843379225
31.00000000000017,-2707277.529746152,-4270107.308992349,3875829.2088646432,37.659008407022604,-122.37497965119998,456.4101618817076,41.10877674989935,64.86394567128387,124.23267586255214
32.000000000000185,-2707236.43041858,-4270042.436197791,3875953.441720463,37.66031716307258,-122.37497994284759,471.5168007770553,41.0886660616947,64.88232380104384,124.2329565334289
33.0000000000002,-2707195.3557450883,-4269977.542396122,3876077.674628943,37.66162593798266,-122.37498059794328,486.623195623979,41.05840502803466,64.90665197420174,124.23279678648653
34.00000000000021,-2707154.3209664375,-4269912.618362911,3876201.907190064,37.66293472686291,-122.37498181835181,501.7293952209875,41.00507383163669,64.94520742769663,124.23226901518859
35.00000000000023,-2707113.3801670363,-4269847.630219194,3876326.1390118226,37.664243525007905,-122.37498432734745,516.835434907116,40.81088053583497,65.07251842139807,124.231180321254
36.00000000000024,-2707076.050808223,-4269780.4159657,3876450.2949496675,37.665551479916246,-122.3750349122106,531.9409245280549,33.183153835316496,69.69906502054015,123.99427081551873
37.000000000000256,-2707047.1085722516,-4269708.329146061,3876573.9545451086,37.66685381989942,-122.37519534620455,547.0439035398886,24.67459963348581,74.41308593836045,123.23868080973615
38.00000000000027,-2707026.7487908276,-4269631.716304616,3876696.6005182727,37.66814466864353,-122.37546540087612,562.1427551517263,16.0245500374289,78.7476352018201,121.96778083332113
39.000000000000284,-2707015.0938819475,-4269550.967054356,3876817.720169821,37.66941819695296,-122.37584388829696,577.2365343179554,7.271314179138991,82.6827141175208,120.18714247378102
40.0000000000003,-2707012.2275380623,-4269466.490136554,3876936.807438974,37.67066864797211,-122.37632913345003,592.3247112249956,-1.5460126106465857,86.2000826020864,117.90448543998006
41.00000000000031,-2707018.1940741604,-4269378.711611083,3877053.3650841056,37.67189036309285,-122.3769189788601,607.4070177022368,-10.387811765422414,89.28335912685547,115.12973301557638
42.00000000000033,-2707032.998024113,-4269288.072953121,3877166.906893851,37.67307780778875,-122.37761079217748,622.4833550294861,-19.214177146041255,91.9181082345363,111.87502093678155
43.00000000000034,-2707056.60396346,-4269195.029067979,3877276.9598905556,37.67422559711306,-122.37840147643692,637.5537383370101,-27.98513353473755,94.0919169731282,108.15467509863552
44.000000000000355,-2707088.9365448086,-4269100.046234758,3877383.066499749,37.675328520663086,-122.37928748279627,652.618262887001,-36.660844127398455,95.7944608788008,103.98516699132253
45.00000000000037,-2707129.8807367953,-4269003.599989119,3877484.78666618,37.676381566850296,-122.38026482560728,667.677083327435,-45.20181061886679,97.01755971366873,99.38505204363247
46.000000000000384,-2707179.2822602964,-4268906.17295548,3877581.6999009885,37.67737994633593,-122.38132909969765,682.7304007308558,-53.56906781432959,97.75522292558908,94.37489393686312
47.0000000000004,-2707236.948216906,-4268808.252638934,3877673.407246994,37.67831911450543,-122.38247549975424,697.7784542553127,-61.724373632520724,98.00368467696943,88.97717677038447
48.00000000000041,-2707302.647905212,-4268710.329187436,3877759.5331506077,37.67919479286253,-122.38369884170228,712.8215154940262,-69.63039468590873,97.76142824322099,83.21620631506083
49.000000000000426,-2707376.1138203507,-4268612.893135005,3877839.727229929,37.68000298923152,-122.38499358597234,727.8598844707012,-77.25088719118405,97.02919958187798,77.11800125376155
50.00000000000044,-2707457.0428319317,-4268516.433136827,3877913.665929381,37.680740016661204,-122.38635386254163,742.8938865391538,-84.55087269403192,95.81000990258343,70.71017514707165
51.000000000000455,-2707545.097534817,-4268421.433707354,3877981.054051961,37.68140251093114,-122.38777349762998,757.9238698054105,-91.49680793021506,94.10912711417413,64.02180980016054
52.00000000000047,-2707639.9077665107,-4268328.372972535,3878041.6261608386,37.681987446566374,-122.38924604192206,772.9502028692514,-98.0567480503588,91.93405608434294,57.08332069961753
53.00000000000048,-2707741.0722841136,-4268237.720447399,3878095.147842709,37.68249215127471,-122.39076480017943,787.9732726635411,-104.20050239087844,89.29450771252812,49.926315211158645
54.0000000000005,-2707848.1605929784,-4268149.934850113,3878141.4168260223,37.68291431872777,-122.39232286209862,802.9934823838994,-109.89978196229515,86.20235688501593,42.58344426519224
55.00000000000051,-2707960.714918366,-4268065.461963613,3878180.2639479684,37.683252019615466,-122.39391313426272,818.0112494211644,-115.12833783542337,82.67158945527444,35.08824829934093
56.000000000000526,-2708078.252310615,-4267984.732555627,3878211.553964864,37.683503710913,-122.39552837302853,833.0270032826811,-119.8620896370261,78.71823846408236,27.474998268917993
57.00000000000054,-2708200.2668735357,-4267908.160367766,3878235.1862014416,37.68366824330795,-122.39716121818353,848.0411834791303,-124.07924340857055,74.360309888468,19.77853257578706
